,Date,Next_Day_Close,Next_Day_Log_Return,Close,High,Low,Open,Volume,Sigma,Log_Return,Volatility_20D,MA_20,BOLL_Lower,BOLL_Upper,Pos_in_BBand,EMA_12,EMA_26,DIF,DEA,MACD,Dollar_Return,Gain ,RSI_6,RSI_12,RSI_24,Lowest_Low_9D,Highest_High_9D,Raw Stochastic Value,KDJ_K,KDJ_D,KDJ_J,KD_Diff,Overbought,Oversold,Log_Return_5D,Log_Return_Intra-day,Log_Hi_Lo_Ratio,Efficiency_Daily,Efficiency_Ratio_10D,Efficiency_Ratio_20D,Efficiency_Ratio_50D
22,4/2/2015,171.668,0.01004,169.953,171.052,169.495,169.836,134306700,1.716,-0.004,0.011,168.882,165.451,172.314,0.156,168.963,169.238,-0.275,-0.439,0.329,-0.650,0.000,55.015,55.535,,164.789,171.652,75.243,61.514,53.188,78.165,8.326,0.000,0.000,0.01940,0.00069,0.009,0.075,0.047808003,0.049957008,
23,5/2/2015,171.194,-0.00277,171.668,171.818,170.544,170.619,97953200,1.821,0.010,0.010,169.041,165.398,172.684,0.361,169.379,169.418,-0.038,-0.359,0.641,1.716,1.716,73.693,58.609,52.971,164.789,171.818,97.867,73.631,60.002,100.890,13.629,1.044,0.000,0.02024,0.00613,0.007,0.824,0.001021069,0.006567153,
24,6/2/2015,170.427,-0.00449,171.194,172.601,170.669,172.035,125672000,1.802,-0.003,0.010,169.027,165.423,172.630,0.301,169.658,169.549,0.109,-0.265,0.749,-0.475,0.000,65.697,55.340,50.131,164.789,172.601,81.983,76.415,65.473,98.299,10.942,0.915,0.000,0.03013,-0.00490,0.011,-0.435,0.030562079,0.040100772,
25,9/2/2015,172.243,0.01060,170.427,171.269,170.019,170.544,87219000,1.813,-0.004,0.010,169.042,165.416,172.669,0.191,169.777,169.614,0.162,-0.180,0.685,-0.766,0.000,76.647,46.505,53.386,164.789,172.601,72.175,75.002,68.649,87.706,6.352,0.385,0.000,0.01333,-0.00068,0.007,-0.093,0.042223598,0.062382968,
26,10/2/2015,172.343,0.00058,172.243,172.501,170.469,171.468,96164200,1.947,0.011,0.010,169.216,165.321,173.110,0.389,170.156,169.809,0.347,-0.074,0.843,1.816,1.816,75.928,54.167,58.081,164.789,172.601,95.415,81.806,73.035,99.348,8.771,0.967,0.000,0.00957,0.00451,0.012,0.381,0.215459282,0.14182984,
27,11/2/2015,174.000,0.00957,172.343,172.776,171.427,172.076,91087800,2.054,0.001,0.010,169.418,165.309,173.526,0.356,170.493,169.997,0.496,0.040,0.912,0.100,0.100,65.762,53.407,55.651,164.789,172.776,94.578,86.063,77.378,103.434,8.685,1.172,0.000,0.01397,0.00155,0.008,0.198,0.413773045,0.188215591,
28,12/2/2015,174.717,0.00411,174.000,174.059,172.376,173.143,97545900,2.229,0.010,0.010,169.753,165.295,174.211,0.476,171.032,170.293,0.739,0.179,1.119,1.657,1.657,80.995,64.714,53.844,164.789,174.059,99.371,90.499,81.752,107.994,8.748,1.400,0.000,0.01349,0.00494,0.010,0.510,0.418735048,0.305555367,
29,13/2/2015,174.991,0.00157,174.717,174.767,173.867,174.125,93670400,2.283,0.004,0.009,170.201,165.635,174.767,0.494,171.599,170.621,0.978,0.339,1.278,0.716,0.716,77.561,75.026,57.184,168.695,174.767,99.177,93.392,85.632,108.912,7.760,1.446,0.000,0.02037,0.00339,0.005,0.657,0.694695483,0.265906606,
30,17/2/2015,175.008,0.00010,174.991,175.166,174.150,174.400,76968200,2.453,0.002,0.009,170.554,165.649,175.460,0.452,172.121,170.945,1.176,0.507,1.339,0.275,0.275,85.624,72.886,60.022,169.495,175.166,96.916,94.567,88.610,106.480,5.957,1.324,0.000,0.02643,0.00338,0.006,0.582,0.643371046,0.26350421,
31,18/2/2015,174.883,-0.00071,175.008,175.083,174.350,174.617,80652900,2.583,0.000,0.009,170.890,165.725,176.056,0.399,172.565,171.246,1.319,0.669,1.301,0.017,0.017,100.000,85.086,60.976,170.019,175.166,96.926,95.353,90.858,104.344,4.495,1.217,0.000,0.01593,0.00224,0.004,0.534,0.538159602,0.238580965,
32,19/2/2015,175.933,0.00598,174.883,175.250,174.267,174.408,91462500,2.695,-0.001,0.009,171.178,165.788,176.567,0.344,172.922,171.515,1.407,0.817,1.180,-0.125,0.000,95.677,81.241,62.809,170.019,175.250,92.994,94.566,92.094,99.512,2.473,0.976,0.000,0.01463,0.00272,0.006,0.483,0.643479179,0.145426179,
33,20/2/2015,175.908,-0.00014,175.933,176.008,173.842,174.467,140896400,2.897,0.006,0.008,171.392,165.598,177.185,0.392,173.385,171.842,1.543,0.962,1.162,1.049,1.049,96.746,78.470,67.447,170.019,176.008,98.748,95.960,93.383,101.116,2.578,1.056,0.000,0.01104,0.00837,0.012,0.677,0.609527777,0.233870461,
34,23/2/2015,176.407,0.00284,175.908,175.908,175.300,175.683,74411100,3.061,0.000,0.008,171.652,165.530,177.773,0.348,173.773,172.143,1.630,1.095,1.068,-0.025,0.000,93.207,84.080,64.766,170.469,176.008,98.195,96.705,94.490,101.136,2.215,1.057,0.000,0.00679,0.00128,0.003,0.370,0.720088294,0.218515144,
35,24/2/2015,176.257,-0.00085,176.407,176.607,175.533,175.833,72472300,3.236,0.003,0.008,171.917,165.445,178.388,0.347,174.178,172.459,1.719,1.220,0.998,0.500,0.500,92.468,81.506,64.949,171.427,176.607,96.141,96.517,95.166,99.220,1.351,0.961,0.000,0.00806,0.00326,0.006,0.535,0.952248699,0.374022652,
36,25/2/2015,176.049,-0.00118,176.257,176.765,175.916,176.282,73061700,3.290,-0.001,0.008,172.287,165.707,178.867,0.302,174.498,172.741,1.758,1.328,0.860,-0.150,0.000,83.928,85.184,63.456,172.376,176.765,88.425,93.820,94.717,92.025,-0.897,0.601,0.000,0.00711,-0.00014,0.005,-0.029,0.870027911,0.526342425,
37,26/2/2015,175.450,-0.00341,176.049,176.324,175.441,176.166,72697900,3.113,-0.001,0.007,172.755,166.530,178.980,0.265,174.737,172.986,1.751,1.412,0.678,-0.208,0.000,75.304,92.347,59.103,173.842,176.765,75.499,87.713,92.383,78.374,-4.669,0.000,0.000,0.00665,-0.00066,0.005,-0.132,0.784842561,0.464167689,
38,27/2/2015,176.557,0.00629,175.450,176.216,175.400,175.949,108076000,2.976,-0.003,0.007,173.116,167.164,179.067,0.196,174.846,173.168,1.678,1.466,0.425,-0.600,0.000,61.185,79.570,59.951,173.842,176.765,54.986,76.804,87.190,56.033,-10.386,0.000,0.000,-0.00275,-0.00284,0.005,-0.612,0.395463876,0.608915197,
39,2/3/2015,175.833,-0.00411,176.557,176.615,175.499,175.549,87491400,2.571,0.006,0.006,173.638,168.496,178.780,0.284,175.110,173.419,1.690,1.510,0.360,1.108,1.108,62.057,82.772,61.107,173.842,176.765,92.877,82.162,85.514,75.457,-3.352,0.000,0.000,0.00369,0.00572,0.006,0.903,0.453791661,0.583098173,
40,3/3/2015,175.091,-0.00422,175.833,176.607,174.966,176.124,110325800,2.266,-0.004,0.006,174.021,169.489,178.554,0.200,175.221,173.598,1.623,1.533,0.180,-0.725,0.000,48.860,66.667,65.181,173.842,176.765,68.091,77.471,82.833,66.748,-5.362,0.000,0.000,-0.00326,-0.00166,0.009,-0.178,0.186689334,0.412622212,
41,4/3/2015,175.283,0.00109,175.091,175.308,174.117,175.233,114497200,2.128,-0.004,0.005,174.246,169.990,178.501,0.099,175.201,173.709,1.492,1.525,-0.065,-0.741,0.000,31.367,53.393,69.487,173.842,176.765,42.734,65.892,77.186,43.305,-11.294,0.000,0.000,-0.00664,-0.00081,0.007,-0.119,0.015920436,0.402482515,
42,5/3/2015,172.818,-0.01416,175.283,175.566,174.775,175.416,76873000,1.881,0.001,0.005,174.512,170.749,178.275,0.102,175.214,173.825,1.388,1.498,-0.218,0.192,0.192,36.363,52.680,67.450,174.117,176.765,44.025,58.603,70.992,33.826,-12.389,0.000,0.000,-0.00436,-0.00076,0.005,-0.168,0.07546985,0.32148465,
